Ano;Mes_Num;Mes_Nome;Receita_Bruta;Custos_Variaveis;Despesas_Operacionais;Indice_Novo
2020;1;Janeiro;974868.14;703180.55;0.0;1
2020;2;Fevereiro;979038.26;719439.63;0.0;2
2020;3;Marco;990291.78;783665.13;0.0;3
2020;4;Abril;457219.55;283565.15;0.0;4
2020;5;Maio;878084.53;601290.8;0.0;5
2020;6;Junho;703357.83;544203.52;0.0;6
2020;7;Julho;1673661.36;1282376.62;0.0;7
2020;8;Agosto;1123615.98;804794.26;0.0;8
2020;9;Setembro;736553.84;449674.65;0.0;9
2020;10;Outubro;1137859.06;826950.02;0.0;10
2020;11;Novembro;801064.94;548052.06;0.0;11
2020;12;Dezembro;1806039.81;1350314.87;0.0;12
2021;1;Janeiro;1337828.76;990942.96;0.0;13
2021;2;Fevereiro;1853822.12;1374981.55;0.0;14
2021;3;Marco;1847015.48;1318448.17;0.0;15
2021;4;Abril;1745243.23;1325936.3;0.0;16
2021;5;Maio;1686406.35;1153734.22;0.0;17
2021;6;Junho;1460450.16;916974.72;0.0;18
2021;7;Julho;1750406.34;1106788.96;0.0;19
2021;8;Agosto;1848653.4;1195403.3;0.0;20
2021;9;Setembro;1855832.23;1225615.09;0.0;21
2021;10;Outubro;1936719.84;1385888.03;0.0;22
2021;11;Novembro;2025769.08;1551687.63;0.0;23
2021;12;Dezembro;2216266.5;1543834.36;0.0;24
2022;1;Janeiro;773472.35;494575.02;0.0;25
2022;2;Fevereiro;1596676.88;1097280.69;0.0;26
2022;3;Marco;1795174.69;1188350.78;0.0;27
2022;4;Abril;2141716.92;1101584.97;0.0;28
2022;5;Maio;1162640.52;779339.6;0.0;29
2022;6;Junho;1525094.56;889629.21;0.0;30
2022;7;Julho;3642456.12;2770853.55;0.0;31
2022;8;Agosto;3894544.8;2699656.02;0.0;32
2022;9;Setembro;3517549.25;2384088.35;0.0;33
2022;10;Outubro;3313907.04;2065780.01;0.0;34
2022;11;Novembro;4318149.43;2836865.89;0.0;35
2022;12;Dezembro;2716702.56;1202832.28;0.0;36
2023;1;Janeiro;603484.76;438360.46;0.0;37
2023;2;Fevereiro;1863951.46;1266817.11;0.0;38
2023;3;Marco;4810274.93;3336350.37;0.0;39
2023;4;Abril;1636751.89;1132258.68;0.0;40
2023;5;Maio;1736192.86;1096948.1;0.0;41
2023;6;Junho;1164460.12;761099.52;0.0;42
2023;7;Julho;1400826.38;983745.31;0.0;43
2023;8;Agosto;2528182.15;1976562.74;0.0;44
2023;9;Setembro;4063518.02;3289237.74;0.0;45
2023;10;Outubro;3111166.32;2475164.53;0.0;46
2023;11;Novembro;1628793.83;1275597.76;0.0;47
2023;12;Dezembro;6885808.17;1007534.43;0.0;48
2024;1;Janeiro;1118134.26;821107.33;0.0;49
2024;2;Fevereiro;3511350.9;2990803.65;0.0;50
2024;3;Marco;3363397.3;2760399.07;0.0;51
2024;4;Abril;2322499.76;1748687.16;0.0;52
2024;5;Maio;2541160.36;2006048.1;0.0;53
2024;6;Junho;1715840.1;1386426.03;0.0;54
2024;7;Julho;1994552.96;1454811.75;0.0;55
2024;8;Agosto;2296992.86;1878811.52;0.0;56
2024;9;Setembro;2271320.45;1750813.44;0.0;57
2024;10;Outubro;2079040.68;1620378.09;0.0;58
2024;11;Novembro;2654455.15;1808005.07;0.0;59
2024;12;Dezembro;1064949.31;634663.62;0.0;60
2025;1;Janeiro;2169930.58;2226293.34;0.0;61
2025;2;Fevereiro;2179370.6;1661647.38;0.0;62
2025;3;Marco;1797274.01;1281409.38;0.0;63
2025;4;Abril;2251992.89;1723625.92;0.0;64
2025;5;Maio;2257691.81;1752343.29;0.0;65
2025;6;Junho;1446273.78;743697.84;0.0;66
2025;7;Julho;650320.5;479989.68;0.0;67
2025;8;Agosto;2417992.78;1445697.32;0.0;68
2025;9;Setembro;1597016.34;1029824.17;0.0;69
2025;10;Outubro;2589200.87;1431912.19;0.0;70
2025;11;Novembro;785777.28;563935.4;0.0;71
2025;12;Dezembro;1517060.79;433628.58;0.0;72
2026;1;Janeiro;395346.88;191920.5;0.0;73
2026;2;Fevereiro;1692514.29;1246154.49;0.0;74
2026;3;Marco;2229499.25;1721185.95;0.0;75
2026;4;Abril;2126465.71;2069149.79;0.0;76
2026;5;Maio;1426517.45;761910.67;0.0;77
2026;6;Junho;2022367.34;528189.81;0.0;78
2026;7;Julho;6038.0;1710.18;0.0;79
2026;8;Agosto;1747824.7850000001;1191877.04;0.0;80
2026;9;Setembro;1747824.7850000001;1191877.04;0.0;81
2026;10;Outubro;1747824.7850000001;1191877.04;0.0;82
2026;11;Novembro;1747824.7850000001;1191877.04;0.0;83
2026;12;Dezembro;1747824.7850000001;1191877.04;0.0;84
