Ano;Mes_Num;Mes_Nome;Receita_Bruta;Custos_Variaveis;Despesas_Operacionais;Indice_Novo
2020;1;Janeiro;942016.29;703180.55;214491.65;1
2020;2;Fevereiro;956934.45;719439.63;231773.44;2
2020;3;Marco;947461.15;783665.13;228261.26;3
2020;4;Abril;420771.4;283565.15;220363.49;4
2020;5;Maio;843122.51;601290.8;209100.95;5
2020;6;Junho;695781.29;544203.52;173138.0;6
2020;7;Julho;1618995.63;1282376.62;185811.03;7
2020;8;Agosto;1076895.53;804794.26;189981.26;8
2020;9;Setembro;620613.54;449674.65;225693.98;9
2020;10;Outubro;1107574.18;826950.02;228684.84;10
2020;11;Novembro;747655.11;548052.06;192810.65;11
2020;12;Dezembro;1672590.96;1350314.87;163570.59;12
2021;1;Janeiro;1284263.32;990942.96;206565.86;13
2021;2;Fevereiro;1794113.31;1374981.55;233561.59;14
2021;3;Marco;1780897.03;1318448.17;317433.87;15
2021;4;Abril;1711218.67;1325936.3;262597.71;16
2021;5;Maio;1603866.21;1153734.22;254871.02;17
2021;6;Junho;1382672.47;916974.72;218784.42;18
2021;7;Julho;1596230.0;1106788.96;219941.62;19
2021;8;Agosto;1784481.67;1195403.3;289537.34;20
2021;9;Setembro;1757132.99;1225615.09;194774.95;21
2021;10;Outubro;1878258.15;1385888.03;370601.21;22
2021;11;Novembro;1963449.93;1551687.63;313017.95;23
2021;12;Dezembro;1964864.63;1543834.36;257081.8;24
2022;1;Janeiro;719346.3;494575.02;237219.42;25
2022;2;Fevereiro;1544689.58;1097280.69;296947.96;26
2022;3;Marco;1711983.33;1188350.78;288840.36;27
2022;4;Abril;1693487.8;1101584.97;308468.61;28
2022;5;Maio;1087489.24;779339.6;384108.48;29
2022;6;Junho;1481270.72;889629.21;272633.09;30
2022;7;Julho;3602556.3;2770853.55;302007.82;31
2022;8;Agosto;3806696.07;2699656.02;392164.76;32
2022;9;Setembro;3448030.24;2384088.35;424499.35;33
2022;10;Outubro;3104782.33;2065780.01;404467.33;34
2022;11;Novembro;4258958.71;2836865.89;447056.12;35
2022;12;Dezembro;1560811.17;1202832.28;222795.1;36
2023;1;Janeiro;567023.91;438360.46;307637.1;37
2023;2;Fevereiro;1752567.86;1266817.11;280621.35;38
2023;3;Marco;4742709.39;3336350.37;416402.06;39
2023;4;Abril;1472314.65;1132258.68;519870.0;40
2023;5;Maio;1667214.05;1096948.1;192432.85;41
2023;6;Junho;1104420.47;761099.52;169670.65;42
2023;7;Julho;1287758.18;983745.31;157888.51;43
2023;8;Agosto;2446532.22;1976562.74;153079.47;44
2023;9;Setembro;3957267.95;3289237.74;249772.7;45
2023;10;Outubro;3006053.46;2475164.53;180734.33;46
2023;11;Novembro;1578704.78;1275597.76;222877.14;47
2023;12;Dezembro;1388736.25;1007534.43;105381.46;48
2024;1;Janeiro;1072122.35;821107.33;149909.97;49
2024;2;Fevereiro;3442123.74;2990803.65;171699.81;50
2024;3;Marco;3289008.48;2760399.07;232303.29;51
2024;4;Abril;2278617.62;1748687.16;203794.69;52
2024;5;Maio;2460680.7;2006048.1;207229.99;53
2024;6;Junho;1677204.64;1386426.03;114984.06;54
2024;7;Julho;1932068.75;1454811.75;421584.16;55
2024;8;Agosto;2291211.32;1878811.52;257410.08;56
2024;9;Setembro;2114454.86;1750813.44;183616.97;57
2024;10;Outubro;1991062.34;1620378.09;175866.85;58
2024;11;Novembro;2616114.8;1808005.07;333093.19;59
2024;12;Dezembro;948820.63;634663.62;109497.85;60
2025;1;Janeiro;2133826.29;2226293.34;224523.05;61
2025;2;Fevereiro;2133675.2;1661647.38;226817.8;62
2025;3;Marco;1728643.75;1281409.38;267051.34;63
2025;4;Abril;2213027.74;1723625.92;176247.42;64
2025;5;Maio;2203921.54;1752343.29;209475.39;65
2025;6;Junho;1027019.29;743697.84;208869.57;66
2025;7;Julho;600815.05;479989.68;188383.18;67
2025;8;Agosto;2332151.4;1445697.32;197212.26;68
2025;9;Setembro;1517491.04;1029824.17;240319.8;69
2025;10;Outubro;2484853.7;1431912.19;162092.19;70
2025;11;Novembro;732206.15;563935.4;269498.43;71
2025;12;Dezembro;528742.07;433628.58;283557.15;72
2026;1;Janeiro;300684.52;191920.5;205157.0;73
2026;2;Fevereiro;1598606.36;1246154.49;167932.55;74
2026;3;Marco;2120679.11;1721185.95;196716.07;75
2026;4;Abril;2063851.29;2069149.79;194850.75;76
2026;5;Maio;1380385.33;761910.67;178886.2;77
2026;6;Junho;1937516.42;528189.81;142407.59;78
2026;7;Julho;6038.0;1710.18;25215.51;79
2026;8;Agosto;1643104.8399999999;1191877.04;219363.02000000002;80
2026;9;Setembro;1643104.8399999999;1191877.04;219363.02000000002;81
2026;10;Outubro;1643104.8399999999;1191877.04;219363.02000000002;82
2026;11;Novembro;1643104.8399999999;1191877.04;219363.02000000002;83
2026;12;Dezembro;1643104.8399999999;1191877.04;219363.02000000002;84
