Ano;Mes_Num;Mes_Nome;Receita_Bruta;Custos_Variaveis;Despesas_Operacionais;Indice_Novo
2020;1;Janeiro;32851.85;703180.55;214491.65;1
2020;2;Fevereiro;22103.81;719439.63;231773.44;2
2020;3;Marco;42830.63;783665.13;228261.26;3
2020;4;Abril;36448.15;283565.15;220363.49;4
2020;5;Maio;34962.02;601290.8;209100.95;5
2020;6;Junho;7576.54;544203.52;173138.0;6
2020;7;Julho;54665.73;1282376.62;185811.03;7
2020;8;Agosto;46720.45;804794.26;189981.26;8
2020;9;Setembro;115940.3;449674.65;225693.98;9
2020;10;Outubro;30284.88;826950.02;228684.84;10
2020;11;Novembro;53409.83;548052.06;192810.65;11
2020;12;Dezembro;133448.85;1350314.87;163570.59;12
2021;1;Janeiro;53565.44;990942.96;206565.86;13
2021;2;Fevereiro;59708.81;1374981.55;233561.59;14
2021;3;Marco;66118.45;1318448.17;317433.87;15
2021;4;Abril;34024.56;1325936.3;262597.71;16
2021;5;Maio;82540.14;1153734.22;254871.02;17
2021;6;Junho;77777.69;916974.72;218784.42;18
2021;7;Julho;154176.34;1106788.96;219941.62;19
2021;8;Agosto;64171.73;1195403.3;289537.34;20
2021;9;Setembro;98699.24;1225615.09;194774.95;21
2021;10;Outubro;58461.69;1385888.03;370601.21;22
2021;11;Novembro;62319.15;1551687.63;313017.95;23
2021;12;Dezembro;251401.87;1543834.36;257081.8;24
2022;1;Janeiro;54126.05;494575.02;237219.42;25
2022;2;Fevereiro;51987.3;1097280.69;296947.96;26
2022;3;Marco;83191.36;1188350.78;288840.36;27
2022;4;Abril;448229.12;1101584.97;308468.61;28
2022;5;Maio;75151.28;779339.6;384108.48;29
2022;6;Junho;43823.84;889629.21;272633.09;30
2022;7;Julho;39899.82;2770853.55;302007.82;31
2022;8;Agosto;87848.73;2699656.02;392164.76;32
2022;9;Setembro;69519.01;2384088.35;424499.35;33
2022;10;Outubro;209124.71;2065780.01;404467.33;34
2022;11;Novembro;59190.72;2836865.89;447056.12;35
2022;12;Dezembro;1155891.39;1202832.28;222795.1;36
2023;1;Janeiro;36460.85;438360.46;307637.1;37
2023;2;Fevereiro;111383.6;1266817.11;280621.35;38
2023;3;Marco;67565.54;3336350.37;416402.06;39
2023;4;Abril;164437.24;1132258.68;519870.0;40
2023;5;Maio;68978.81;1096948.1;192432.85;41
2023;6;Junho;60039.65;761099.52;169670.65;42
2023;7;Julho;113068.2;983745.31;157888.51;43
2023;8;Agosto;81649.93;1976562.74;153079.47;44
2023;9;Setembro;106250.07;3289237.74;249772.7;45
2023;10;Outubro;105112.86;2475164.53;180734.33;46
2023;11;Novembro;50089.05;1275597.76;222877.14;47
2023;12;Dezembro;5497071.92;1007534.43;105381.46;48
2024;1;Janeiro;46011.91;821107.33;149909.97;49
2024;2;Fevereiro;69227.16;2990803.65;171699.81;50
2024;3;Marco;74388.82;2760399.07;232303.29;51
2024;4;Abril;43882.14;1748687.16;203794.69;52
2024;5;Maio;80479.66;2006048.1;207229.99;53
2024;6;Junho;38635.46;1386426.03;114984.06;54
2024;7;Julho;62484.21;1454811.75;421584.16;55
2024;8;Agosto;5781.54;1878811.52;257410.08;56
2024;9;Setembro;156865.59;1750813.44;183616.97;57
2024;10;Outubro;87978.34;1620378.09;175866.85;58
2024;11;Novembro;38340.35;1808005.07;333093.19;59
2024;12;Dezembro;116128.68;634663.62;109497.85;60
2025;1;Janeiro;36104.29;2226293.34;224523.05;61
2025;2;Fevereiro;45695.4;1661647.38;226817.8;62
2025;3;Marco;68630.26;1281409.38;267051.34;63
2025;4;Abril;38965.15;1723625.92;176247.42;64
2025;5;Maio;53770.27;1752343.29;209475.39;65
2025;6;Junho;419254.49;743697.84;208869.57;66
2025;7;Julho;49505.45;479989.68;188383.18;67
2025;8;Agosto;85841.38;1445697.32;197212.26;68
2025;9;Setembro;79525.3;1029824.17;240319.8;69
2025;10;Outubro;104347.17;1431912.19;162092.19;70
2025;11;Novembro;53571.13;563935.4;269498.43;71
2025;12;Dezembro;988318.72;433628.58;283557.15;72
2026;1;Janeiro;94662.36;191920.5;205157.0;73
2026;2;Fevereiro;93907.93;1246154.49;167932.55;74
2026;3;Marco;108820.14;1721185.95;196716.07;75
2026;4;Abril;62614.42;2069149.79;194850.75;76
2026;5;Maio;46132.12;761910.67;178886.2;77
2026;6;Junho;84850.92;528189.81;142407.59;78
2026;7;Julho;0.0;1710.18;25215.51;79
2026;8;Agosto;0.0;0.0;0.0;80
2026;9;Setembro;0.0;0.0;0.0;81
2026;10;Outubro;0.0;0.0;0.0;82
2026;11;Novembro;0.0;0.0;0.0;83
2026;12;Dezembro;0.0;0.0;0.0;84
