Ano;Mes_Num;Mes_Nome;Receita_Bruta;Custos_Variaveis;Despesas_Operacionais;Indice_Novo
2020;1;Janeiro;252628.91;140099.43;46138.14;1
2020;2;Fevereiro;250757.91;140260.43;48327.05;2
2020;3;Marco;204085.48;110493.91;16571.67;3
2020;4;Abril;351123.46;198215.64;50905.51;4
2020;5;Maio;423260.29;224933.75;59953.05;5
2020;6;Junho;410862.98;226575.52;51819.73;6
2020;7;Julho;458318.84;241584.74;63002.97;7
2020;8;Agosto;382123.35;203959.43;58782.07;8
2020;9;Setembro;440934.65;234998.16;53973.11;9
2020;10;Outubro;456108.48;237857.2;55553.51;10
2020;11;Novembro;356087.58;187875.61;64573.37;11
2020;12;Dezembro;458482.55;269946.08;61642.45;12
2021;1;Janeiro;314360.61;167174.0;53955.52;13
2021;2;Fevereiro;306573.7;166874.21;44488.98;14
2021;3;Marco;448718.18;245245.34;58277.35;15
2021;4;Abril;460776.7;254377.56;70651.01;16
2021;5;Maio;464413.88;261648.29;61512.33;17
2021;6;Junho;523305.24;282963.82;64211.88;18
2021;7;Julho;497970.49;270041.01;68359.13;19
2021;8;Agosto;420737.09;209577.19;44420.15;20
2021;9;Setembro;347209.86;186040.36;60789.72;21
2021;10;Outubro;447715.62;241337.69;59577.21;22
2021;11;Novembro;486094.85;254199.86;79606.97;23
2021;12;Dezembro;307812.07;162584.67;47714.18;24
2022;1;Janeiro;328488.77;172247.45;42273.1;25
2022;2;Fevereiro;435653.72;235073.11;48076.48;26
2022;3;Marco;529170.06;281655.85;69409.91;27
2022;4;Abril;454718.82;241566.88;62973.22;28
2022;5;Maio;498723.21;264065.23;73621.82;29
2022;6;Junho;456187.55;237959.89;66129.74;30
2022;7;Julho;535912.91;278419.54;70229.29;31
2022;8;Agosto;398192.69;202189.6;53987.34;32
2022;9;Setembro;424150.21;227681.99;72440.57;33
2022;10;Outubro;386419.22;200938.4;63821.57;34
2022;11;Novembro;442245.05;236280.07;68764.46;35
2022;12;Dezembro;319017.75;162295.67;50801.02;36
2023;1;Janeiro;360150.96;197843.42;57435.22;37
2023;2;Fevereiro;436719.83;231952.14;65981.62;38
2023;3;Marco;550851.15;288646.37;60039.97;39
2023;4;Abril;394274.35;208176.1;70146.63;40
2023;5;Maio;591639.05;302655.96;77531.63;41
2023;6;Junho;401182.19;209697.48;64850.16;42
2023;7;Julho;436799.92;222695.47;63188.65;43
2023;8;Agosto;418557.8;223232.45;54557.94;44
2023;9;Setembro;338332.25;169977.58;53115.55;45
2023;10;Outubro;352054.4;178683.81;54168.6;46
2023;11;Novembro;351403.71;183132.83;64744.56;47
2023;12;Dezembro;414073.38;202914.23;49803.86;48
2024;1;Janeiro;284615.3;142686.38;60421.06;49
2024;2;Fevereiro;363245.64;181101.67;64404.27;50
2024;3;Marco;397225.83;201286.78;70583.08;51
2024;4;Abril;472628.28;238228.45;72112.03;52
2024;5;Maio;412499.01;211892.72;72464.9;53
2024;6;Junho;331457.4;161620.24;72441.78;54
2024;7;Julho;395246.61;201263.64;70733.1;55
2024;8;Agosto;302611.63;153003.48;73111.8;56
2024;9;Setembro;290548.19;151505.12;64513.29;57
2024;10;Outubro;291925.52;150178.11;60367.78;58
2024;11;Novembro;273343.01;133683.55;75450.11;59
2024;12;Dezembro;257412.76;127733.57;64819.22;60
2025;1;Janeiro;360029.22;187536.32;63272.37;61
2025;2;Fevereiro;360530.83;181999.94;65218.3;62
2025;3;Marco;416475.79;208469.27;80514.16;63
2025;4;Abril;366943.6;188412.72;81999.71;64
2025;5;Maio;413299.65;208710.92;67348.72;65
2025;6;Junho;341976.99;170012.73;71451.08;66
2025;7;Julho;414969.66;208751.52;84011.34;67
2025;8;Agosto;363915.6;182282.34;78663.91;68
2025;9;Setembro;290368.42;142493.31;80945.8;69
2025;10;Outubro;293165.46;150822.69;83730.49;70
2025;11;Novembro;304093.65;149768.67;58369.07;71
2025;12;Dezembro;302236.03;149014.71;74467.82;72
2026;1;Janeiro;324503.85;156627.99;72084.72;73
2026;2;Fevereiro;296181.98;143607.92;59539.09;74
2026;3;Marco;357625.86;178520.53;68791.4;75
2026;4;Abril;310137.33;153720.24;81347.93;76
2026;5;Maio;354725.52;174198.04;75823.33;77
2026;6;Junho;325689.27;160128.96;70014.95;78
2026;7;Julho;0.0;0.0;0.0;79
2026;8;Agosto;0.0;0.0;0.0;80
2026;9;Setembro;0.0;0.0;0.0;81
2026;10;Outubro;0.0;0.0;0.0;82
2026;11;Novembro;0.0;0.0;0.0;83
2026;12;Dezembro;0.0;0.0;0.0;84
