Grupo;Codigo;Conta;Descricao;Saldo Anterior;Total de Debitos;Total de Creditos;Saldo Atual;Perc;Janeiro;%;Fevereiro;%;Marco;%;Abril;%;Maio;%;Junho;%;Julho;%;Agosto;%;Setembro;%;Outubro;%;Novembro;%;Dezembro;%
20;;1;RESULTADO LIQUIDO DO PERIODO;-173590,36;190481,44;207519,30;-190628,22;,00;-17517,79;,00;-9397,33;,00;23554,53;,00;-16454,12;,00;-13106,10;,00;-20167,93;,00;-30517,46;,00;-32164,56;,00;-23589,90;,00;-19379,60;,00;-14850,10;,00;-17037,86;,00
20;A;3000000;RESULTADO OPERACIONAL BRUTO;-442053,10;165905,74;207402,17;-483549,53;,00;-36535,88;,00;-29780,81;,00;-5463,02;,00;-37870,56;,00;-38232,97;,00;-45055,62;,00;-57327,20;,00;-59355,10;,00;-52160,80;,00;-39938,12;,00;-40333,02;,00;-41496,43;,00
20;A;3100000;RECEITA OPERACIONAL LIQUIDA;-1987600,37;23760,93;206038,81;-2169878,25;,00;-154425,24;,00;-131960,40;,00;-177458,94;,00;-148473,93;,00;-166096,84;,00;-191211,48;,00;-247460,29;,00;-232999,84;,00;-212443,40;,00;-154427,83;,00;-170642,18;,00;-182277,88;,00
20;A;3110000;RECEITA DE VENDA MERCADORIAS E SERVICOS;-2312534,01;,00;205854,46;-2518388,47;,00;-177078,78;,00;-152531,65;,00;-203037,63;,00;-169988,09;,00;-195296,03;,00;-222334,53;,00;-292486,19;,00;-271672,55;,00;-244249,29;,00;-188206,98;,00;-195652,29;,00;-205854,46;,00
20;A;3111000;RECEITA BRUTA DE VENDAS;-2312534,01;,00;205854,46;-2518388,47;,00;-177078,78;,00;-152531,65;,00;-203037,63;,00;-169988,09;,00;-195296,03;,00;-222334,53;,00;-292486,19;,00;-271672,55;,00;-244249,29;,00;-188206,98;,00;-195652,29;,00;-205854,46;,00
20;A;3111001;VENDAS A VISTA;-1106484,65;,00;118251,37;-1224736,02;,00;-80099,50;,00;-64963,58;,00;-110324,06;,00;-92150,37;,00;-101404,62;,00;-107141,96;,00;-138297,81;,00;-125013,05;,00;-103638,30;,00;-93958,00;,00;-89493,40;,00;-118251,37;,00
20;A;3111002;VENDAS A PRAZO;-1206049,36;,00;87603,09;-1293652,45;,00;-96979,28;,00;-87568,07;,00;-92713,57;,00;-77837,72;,00;-93891,41;,00;-115192,57;,00;-154188,38;,00;-146659,50;,00;-140610,99;,00;-94248,98;,00;-106158,89;,00;-87603,09;,00
20;A;3120000;MERCADORIAS DEVOLVIDAS;78340,20;2089,72;,00;80429,92;,00;4034,93;,00;2448,74;,00;3542,70;,00;2745,10;,00;8704,42;,00;7600,70;,00;15366,99;,00;9263,56;,00;6376,72;,00;14749,54;,00;3506,80;,00;2089,72;,00
20;A;3120001;DEVOLUCAO DE MERCADORIAS;78340,20;2089,72;,00;80429,92;,00;4034,93;,00;2448,74;,00;3542,70;,00;2745,10;,00;8704,42;,00;7600,70;,00;15366,99;,00;9263,56;,00;6376,72;,00;14749,54;,00;3506,80;,00;2089,72;,00
20;A;3130000;IMPOSTOS S/VENDAS;246593,44;21671,21;184,35;268080,30;,00;18618,61;,00;18122,51;,00;22035,99;,00;18769,06;,00;20494,77;,00;23522,35;,00;29658,91;,00;29409,15;,00;25429,17;,00;19029,61;,00;21503,31;,00;21486,86;,00
