Grupo;Codigo;Conta;Descricao;Saldo Anterior;Total de Debitos;Total de Creditos;Saldo Atual;Perc;Janeiro;%;Fevereiro;%;Marco;%;Abril;%;Maio;%;Junho;%;Julho;%;Agosto;%;Setembro;%;Outubro;%;Novembro;%;Dezembro;%
20;;1;RESULTADO LIQUIDO DO PERIODO;-255434,45;178396,05;247790,75;-324829,15;,00;-18096,57;,00;-12339,73;,00;-14169,97;,00;-21490,31;,00;-18303,67;,00;-25617,11;,00;-35929,07;,00;-28340,73;,00;-24661,96;,00;-40075,44;,00;-16409,89;,00;-69394,70;,00
20;A;3000000;RESULTADO OPERACIONAL BRUTO;-536646,16;160180,96;193681,10;-570146,30;,00;-41125,28;,00;-37643,31;,00;-41447,26;,00;-43633,27;,00;-54772,02;,00;-52485,69;,00;-59651,56;,00;-50614,88;,00;-44841,75;,00;-64301,72;,00;-46129,42;,00;-33500,14;,00
20;A;3100000;RECEITA OPERACIONAL LIQUIDA;-2368152,82;26259,52;191310,80;-2533204,10;,00;-197339,29;,00;-167483,56;,00;-172934,89;,00;-187234,64;,00;-219851,37;,00;-209550,90;,00;-261901,93;,00;-229752,25;,00;-203407,53;,00;-296482,26;,00;-222214,20;,00;-165051,28;,00
20;A;3110000;RECEITA DE VENDA MERCADORIAS E SERVICOS;-2734262,10;,00;190837,35;-2925099,45;,00;-226832,46;,00;-191198,51;,00;-198582,45;,00;-219526,51;,00;-254366,75;,00;-243069,16;,00;-303115,80;,00;-265933,63;,00;-233945,25;,00;-341736,32;,00;-255955,26;,00;-190837,35;,00
20;A;3111000;RECEITA BRUTA DE VENDAS;-2734262,10;,00;190837,35;-2925099,45;,00;-226832,46;,00;-191198,51;,00;-198582,45;,00;-219526,51;,00;-254366,75;,00;-243069,16;,00;-303115,80;,00;-265933,63;,00;-233945,25;,00;-341736,32;,00;-255955,26;,00;-190837,35;,00
20;A;3111001;VENDAS A VISTA;-1273009,71;,00;79574,87;-1352584,58;,00;-99873,01;,00;-85668,18;,00;-111841,18;,00;-111472,05;,00;-121161,12;,00;-126695,37;,00;-150848,58;,00;-110634,89;,00;-97498,64;,00;-156213,03;,00;-101103,66;,00;-79574,87;,00
20;A;3111002;VENDAS A PRAZO;-1461252,39;,00;111262,48;-1572514,87;,00;-126959,45;,00;-105530,33;,00;-86741,27;,00;-108054,46;,00;-133205,63;,00;-116373,79;,00;-152267,22;,00;-155298,74;,00;-136446,61;,00;-185523,29;,00;-154851,60;,00;-111262,48;,00
20;A;3120000;MERCADORIAS DEVOLVIDAS;46273,19;3763,60;,00;50036,79;,00;6035,89;,00;1782,93;,00;1498,63;,00;7721,21;,00;4300,84;,00;3558,70;,00;5157,07;,00;5520,95;,00;3743,22;,00;4656,65;,00;2297,10;,00;3763,60;,00
20;A;3120001;DEVOLUCAO DE MERCADORIAS;46273,19;3763,60;,00;50036,79;,00;6035,89;,00;1782,93;,00;1498,63;,00;7721,21;,00;4300,84;,00;3558,70;,00;5157,07;,00;5520,95;,00;3743,22;,00;4656,65;,00;2297,10;,00;3763,60;,00
20;A;3130000;IMPOSTOS S/VENDAS;319836,09;22495,92;473,45;341858,56;,00;23457,28;,00;21932,02;,00;24148,93;,00;24570,66;,00;30214,54;,00;29959,56;,00;36056,80;,00;30660,43;,00;26794,50;,00;40597,41;,00;31443,96;,00;22022,47;,00
