Grupo;Codigo;Conta;Descricao;Saldo Anterior;Total de Debitos;Total de Creditos;Saldo Atual;Perc;Janeiro;%;Fevereiro;%;Marco;%;Abril;%;Maio;%;Junho;%;Julho;%;Agosto;%;Setembro;%;Outubro;%;Novembro;%;Dezembro;%
20;;1;RESULTADO LIQUIDO DO PERIODO;-1533309,03;3214900,44;3208630,62;-1527039,21;,00;-51252,33;,00;-123425,75;,00;-74515,38;,00;-34285,40;,00;-181689,31;,00;-212250,29;,00;-286351,94;,00;-194326,44;,00;-314290,82;,00;-47232,66;,00;-13688,71;,00;6269,82;,00
20;A;3000000;RESULTADO OPERACIONAL BRUTO;-3645511,18;1697487,08;1984045,67;-3932069,77;,00;-204252,75;,00;-297278,53;,00;-325830,80;,00;-262858,55;,00;-361433,54;,00;-353257,02;,00;-386781,72;,00;-419692,05;,00;-410366,53;,00;-359372,18;,00;-264387,51;,00;-286558,59;,00
20;A;3100000;RECEITA OPERACIONAL LIQUIDA;-17191912,11;143540,56;1973933,51;-19022305,06;,00;-1195195,71;,00;-1672260,08;,00;-1644278,97;,00;-1588794,85;,00;-1515167,76;,00;-1270231,74;,00;-1493570,68;,00;-1615095,35;,00;-1635981,62;,00;-1745260,21;,00;-1816075,14;,00;-1830392,95;,00
20;A;3110000;RECEITA DE VENDA MERCADORIAS E SERVICOS;-18536583,75;7530,40;1972395,03;-20501448,38;,00;-1284263,32;,00;-1794113,31;,00;-1780897,03;,00;-1711218,67;,00;-1603866,21;,00;-1382672,47;,00;-1596230,00;,00;-1784481,67;,00;-1757132,99;,00;-1878258,15;,00;-1963449,93;,00;-1964864,63;,00
20;A;3111000;RECEITA BRUTA DE VENDAS;-18287513,49;7530,40;1964864,63;-20244847,72;,00;-1272647,50;,00;-1775081,53;,00;-1743041,22;,00;-1683751,81;,00;-1575405,46;,00;-1358637,25;,00;-1570742,41;,00;-1770568,23;,00;-1733238,03;,00;-1856589,88;,00;-1947810,17;,00;-1957334,23;,00
20;A;3111001;VENDAS A VISTA;-541313,68;3648,00;29486,66;-567152,34;,00;-10597,15;,00;-26698,08;,00;-40151,09;,00;-43415,79;,00;-96384,86;,00;-16905,09;,00;-27982,51;,00;-18670,29;,00;-12350,55;,00;-214658,07;,00;-33500,20;,00;-25838,66;,00
20;A;3111002;VENDAS A PRAZO;-17746199,81;3882,40;1935377,97;-19677695,38;,00;-1262050,35;,00;-1748383,45;,00;-1702890,13;,00;-1640336,02;,00;-1479020,60;,00;-1341732,16;,00;-1542759,90;,00;-1751897,94;,00;-1720887,48;,00;-1641931,81;,00;-1914309,97;,00;-1931495,57;,00
20;A;3114000;RECEITA BRUTA DE SERVICOS;-249070,26;,00;7530,40;-256600,66;,00;-11615,82;,00;-19031,78;,00;-37855,81;,00;-27466,86;,00;-28460,75;,00;-24035,22;,00;-25487,59;,00;-13913,44;,00;-23894,96;,00;-21668,27;,00;-15639,76;,00;-7530,40;,00
20;A;3114001;MAO DE OBRA - VENDAS A VISTA;-7826,70;,00;3648,00;-11474,70;,00;-1322,00;,00;-3484,00;,00;-236,00;,00;-200,00;,00;-206,60;,00;-706,10;,00;-800,00;,00;-480,00;,00;,00;,00;,00;,00;-392,00;,00;-3648,00;,00
20;A;3114002;MAO DE OBRA - VENDAS A PRAZO;-241243,56;,00;3882,40;-245125,96;,00;-10293,82;,00;-15547,78;,00;-37619,81;,00;-27266,86;,00;-28254,15;,00;-23329,12;,00;-24687,59;,00;-13433,44;,00;-23894,96;,00;-21668,27;,00;-15247,76;,00;-3882,40;,00
