Grupo;Codigo;Conta;Descricao;Saldo Anterior;Total de Debitos;Total de Creditos;Saldo Atual;Perc;Janeiro;%;Fevereiro;%;Marco;%;Abril;%;Maio;%;Junho;%;Julho;%;Agosto;%;Setembro;%;Outubro;%;Novembro;%;Dezembro;%
20;;1;RESULTADO LIQUIDO DO PERIODO;-160160,57;108840,13;115567,73;-166888,17;,00;-3907,07;,00;-14124,27;,00;-18243,11;,00;-13350,14;,00;-20531,62;,00;-24653,72;,00;-13638,15;,00;-11494,80;,00;-12007,94;,00;-15308,61;,00;-12901,14;,00;-6727,60;,00
20;A;3000000;RESULTADO OPERACIONAL BRUTO;-344013,66;88428,99;115450,71;-371035,38;,00;-18806,76;,00;-30926,44;,00;-33509,84;,00;-32360,20;,00;-37372,50;,00;-34312,69;,00;-32815,66;,00;-28932,05;,00;-30399,57;,00;-31916,87;,00;-32661,08;,00;-27021,72;,00
20;A;3100000;RECEITA OPERACIONAL LIQUIDA;-1387340,00;15391,03;113997,31;-1485946,28;,00;-76172,31;,00;-121593,99;,00;-141485,08;,00;-126756,55;,00;-154748,36;,00;-133215,24;,00;-135405,93;,00;-118925,38;,00;-120059,56;,00;-127647,74;,00;-131329,86;,00;-98606,28;,00
20;A;3110000;RECEITA DE VENDA MERCADORIAS E SERVICOS;-1595369,70;,00;113776,86;-1709146,56;,00;-94859,15;,00;-141537,54;,00;-163609,85;,00;-143002,52;,00;-175927,88;,00;-152502,49;,00;-156072,87;,00;-136278,82;,00;-136697,44;,00;-144937,53;,00;-149943,61;,00;-113776,86;,00
20;A;3111000;RECEITA BRUTA DE VENDAS;-1595369,70;,00;113776,86;-1709146,56;,00;-94859,15;,00;-141537,54;,00;-163609,85;,00;-143002,52;,00;-175927,88;,00;-152502,49;,00;-156072,87;,00;-136278,82;,00;-136697,44;,00;-144937,53;,00;-149943,61;,00;-113776,86;,00
20;A;3111001;VENDAS A VISTA;-831743,94;,00;53982,73;-885726,67;,00;-55195,54;,00;-66323,51;,00;-79171,77;,00;-79906,52;,00;-97138,01;,00;-76700,45;,00;-80313,42;,00;-75933,55;,00;-71671,17;,00;-77726,52;,00;-71663,48;,00;-53982,73;,00
20;A;3111002;VENDAS A PRAZO;-763625,76;,00;59794,13;-823419,89;,00;-39663,61;,00;-75214,03;,00;-84438,08;,00;-63096,00;,00;-78789,87;,00;-75802,04;,00;-75759,45;,00;-60345,27;,00;-65026,27;,00;-67211,01;,00;-78280,13;,00;-59794,13;,00
20;A;3120000;MERCADORIAS DEVOLVIDAS;33149,20;2223,19;,00;35372,39;,00;9334,30;,00;5308,56;,00;5093,90;,00;1146,40;,00;2554,58;,00;2089,20;,00;1218,41;,00;2245,65;,00;1758,70;,00;479,50;,00;1920,00;,00;2223,19;,00
20;A;3120001;DEVOLUCAO DE MERCADORIAS;33149,20;2223,19;,00;35372,39;,00;9334,30;,00;5308,56;,00;5093,90;,00;1146,40;,00;2554,58;,00;2089,20;,00;1218,41;,00;2245,65;,00;1758,70;,00;479,50;,00;1920,00;,00;2223,19;,00
20;A;3130000;IMPOSTOS S/VENDAS;174880,50;13167,84;220,45;187827,89;,00;9352,54;,00;14634,99;,00;17030,87;,00;15099,57;,00;18624,94;,00;17198,05;,00;19448,53;,00;15107,79;,00;14879,18;,00;16810,29;,00;16693,75;,00;12947,39;,00
20;A;3130001;ICMS;31290,09;2812,11;13,09;34089,11;,00;1639,20;,00;2097,33;,00;2496,25;,00;2058,49;,00;2651,15;,00;3411,90;,00;5151,91;,00;2761,35;,00;2452,06;,00;3478,39;,00;3092,06;,00;2799,02;,00
20;A;3130002;PIS S/FATURAMENTO;25610,48;1848,48;38,39;27420,57;,00;1375,93;,00;2236,40;,00;2592,81;,00;2326,27;,00;2849,50;,00;2459,25;,00;2548,52;,00;2201,71;,00;2216,43;,00;2377,58;,00;2426,08;,00;1810,09;,00
20;A;3130003;COFINS S/FATURAMENTO;117979,93;8507,25;168,97;126318,21;,00;6337,41;,00;10301,26;,00;11941,81;,00;10714,81;,00;13124,29;,00;11326,90;,00;11748,10;,00;10144,73;,00;10210,69;,00;10954,32;,00;11175,61;,00;8338,28;,00
20;A;3140000;CUSTO DE MERCADORIAS E SERVICOS;1043326,34;73037,96;1453,40;1114910,90;,00;57365,55;,00;90667,55;,00;107975,24;,00;94396,35;,00;117375,86;,00;98902,55;,00;102590,27;,00;89993,33;,00;89659,99;,00;95730,87;,00;98668,78;,00;71584,56;,00
20;A;3140001;CUSTO MERCADORIAS VENDIDAS;1043326,34;73037,96;1453,40;1114910,90;,00;57365,55;,00;90667,55;,00;107975,24;,00;94396,35;,00;117375,86;,00;98902,55;,00;102590,27;,00;89993,33;,00;89659,99;,00;95730,87;,00;98668,78;,00;71584,56;,00
20;A;4000000;DESPESAS OPERACIONAIS;180253,21;20011,14;117,02;200147,33;,00;14397,07;,00;14484,20;,00;13924,56;,00;16899,14;,00;13954,88;,00;14971,23;,00;19416,60;,00;17566,25;,00;18408,08;,00;16821,26;,00;19409,94;,00;19894,12;,00
20;A;4100000;COMERCIAIS (I.II.III.IV);100680,34;12407,39;30,27;113057,46;,00;8056,61;,00;8151,44;,00;9204,52;,00;8906,42;,00;7899,87;,00;11500,72;,00;10821,62;,00;8739,48;,00;8642,52;,00;8713,17;,00;10043,97;,00;12377,12;,00
20;A;4111000;COMERCIAL (I);100680,34;12407,39;30,27;113057,46;,00;8056,61;,00;8151,44;,00;9204,52;,00;8906,42;,00;7899,87;,00;11500,72;,00;10821,62;,00;8739,48;,00;8642,52;,00;8713,17;,00;10043,97;,00;12377,12;,00
