Grupo;Codigo;Conta;Descricao;Saldo Anterior;Total de Debitos;Total de Creditos;Saldo Atual;Perc;Janeiro;%;Fevereiro;%;Marco;%;Abril;%;Maio;%;Junho;%;Julho;%;Agosto;%;Setembro;%;Outubro;%;Novembro;%;Dezembro;%
20;;1;RESULTADO LIQUIDO DO PERIODO;-2979603,55;2175567,41;3275040,02;-4079076,16;,00;4812,91;,00;-91474,01;,00;-174289,08;,00;-566195,99;,00;89942,05;,00;-59810,30;,00;-359570,87;,00;-535526,80;,00;-474236,13;,00;-492070,30;,00;-321185,03;,00;-1099472,61;,00
20;A;3000000;RESULTADO OPERACIONAL BRUTO;-5522723,99;1316943,58;1575644,37;-5781424,78;,00;-178280,46;,00;-336434,67;,00;-379938,08;,00;-433234,56;,00;-219015,15;,00;-288619,55;,00;-621678,87;,00;-839842,83;,00;-829216,47;,00;-687412,92;,00;-709050,43;,00;-258700,79;,00
20;A;3100000;RECEITA OPERACIONAL LIQUIDA;-23830728,08;102440,43;1563973,50;-25292261,15;,00;-672855,48;,00;-1433715,36;,00;-1568288,86;,00;-1534819,53;,00;-998354,75;,00;-1178248,76;,00;-3392532,42;,00;-3539498,85;,00;-3213304,82;,00;-2753192,93;,00;-3545916,32;,00;-1461533,07;,00
20;A;3110000;RECEITA DE VENDA MERCADORIAS E SERVICOS;-26459290,62;46,38;1560857,55;-28020101,79;,00;-719346,30;,00;-1544689,58;,00;-1711983,33;,00;-1693487,80;,00;-1087489,24;,00;-1481270,72;,00;-3602556,30;,00;-3806696,07;,00;-3448030,24;,00;-3104782,33;,00;-4258958,71;,00;-1560811,17;,00
20;A;3111000;RECEITA BRUTA DE VENDAS;-26120347,32;,00;1521983,77;-27642331,09;,00;-697935,46;,00;-1521437,05;,00;-1691022,75;,00;-1648494,45;,00;-1049528,29;,00;-1455764,95;,00;-3574426,13;,00;-3791755,77;,00;-3428407,01;,00;-3051871,08;,00;-4209704,38;,00;-1521983,77;,00
20;A;3111011;VENDA MAQUINAS AGCO NOVOS;-15359133,60;,00;455000,00;-15814133,60;,00;,00;,00;-995800,00;,00;-325000,00;,00;-725000,00;,00;-599500,00;,00;-794500,00;,00;-2102000,00;,00;-2628200,00;,00;-2696133,60;,00;-1770000,00;,00;-2723000,00;,00;-455000,00;,00
20;A;3111021;VENDA IMPLEMENTOS AGCO NOVOS;-2908000,00;,00;,00;-2908000,00;,00;,00;,00;,00;,00;-390000,00;,00;-215000,00;,00;,00;,00;-359000,00;,00;-494000,00;,00;-325000,00;,00;-375000,00;,00;-350000,00;,00;-400000,00;,00;,00;,00
20;A;3111031;VENDA MAQ.IMPL OUTRAS MARCAS NOVOS;-3680599,00;,00;354000,00;-4034599,00;,00;-384200,00;,00;-372290,00;,00;-392850,00;,00;-41600,00;,00;-55660,00;,00;-138400,00;,00;-363000,00;,00;-672200,00;,00;-130500,00;,00;-704400,00;,00;-425499,00;,00;-354000,00;,00
20;A;3111041;VENDA MAQS E IMPLEM.AGCO USADOS;-718000,00;,00;475000,00;-1193000,00;,00;,00;,00;,00;,00;-210000,00;,00;-355000,00;,00;-153000,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;-475000,00;,00
20;A;3111051;VENDA MAQ.IMPL.OUTRAS MARCAS USADOS;-1388000,00;,00;93000,00;-1481000,00;,00;-210000,00;,00;,00;,00;-84000,00;,00;,00;,00;-34000,00;,00;,00;,00;-520000,00;,00;,00;,00;,00;,00;-80000,00;,00;-460000,00;,00;-93000,00;,00
20;A;3111061;VENDA OUTROS NEGOCIOS AGCO;-89771,79;,00;3098,60;-92870,39;,00;-17267,05;,00;-1326,92;,00;-2381,59;,00;-2481,46;,00;-2899,15;,00;-12277,40;,00;-4710,50;,00;-3654,45;,00;-27219,26;,00;-3736,85;,00;-11817,16;,00;-3098,60;,00
20;A;3111062;VENDA OUTROS NEGOCIOS AGCO OFICINA;-38660,48;,00;1002,88;-39663,36;,00;-140,55;,00;-13275,73;,00;-594,61;,00;-161,50;,00;-459,15;,00;-474,11;,00;-5096,60;,00;-2239,66;,00;-503,67;,00;-15145,30;,00;-569,60;,00;-1002,88;,00
20;A;3111063;VENDA OUTROS NEGOCIOS AGCO GARANTIA;-2740,43;,00;,00;-2740,43;,00;-,16;,00;,00;,00;,00;,00;,00;,00;-29,50;,00;-315,52;,00;,00;,00;,00;,00;-2395,25;,00;,00;,00;,00;,00;,00;,00
