Grupo;Codigo;Conta;Descricao;Saldo Anterior;Total de Debitos;Total de Creditos;Saldo Atual;Perc;Janeiro;%;Fevereiro;%;Marco;%;Abril;%;Maio;%;Junho;%;Julho;%;Agosto;%;Setembro;%;Outubro;%;Novembro;%;Dezembro;%
20;;1;RESULTADO LIQUIDO DO PERIODO;-279309,25;225376,33;358527,17;-412460,09;,00;-15127,45;,00;-28321,08;,00;-36243,98;,00;-34050,99;,00;-10415,69;,00;-20969,36;,00;-30009,26;,00;-30802,90;,00;-29405,86;,00;-38668,13;,00;-5294,55;,00;-133150,84;,00
20;A;3000000;RESULTADO OPERACIONAL BRUTO;-492402,67;206352,18;346903,34;-632953,83;,00;-33073,14;,00;-44429,75;,00;-50715,44;,00;-57114,90;,00;-32041,10;,00;-37766,68;,00;-51729,30;,00;-50491,82;,00;-47272,99;,00;-57962,14;,00;-29805,41;,00;-140551,16;,00
20;A;3100000;RECEITA OPERACIONAL LIQUIDA;-2158725,67;62673,79;343620,64;-2439672,52;,00;-174085,62;,00;-184004,80;,00;-187561,32;,00;-222535,10;,00;-173376,78;,00;-175289,35;,00;-219003,70;,00;-201377,01;,00;-187217,13;,00;-220322,72;,00;-213952,14;,00;-280946,85;,00
20;A;3110000;RECEITA DE VENDA MERCADORIAS E SERVICOS;-2715958,82;,00;246207,22;-2962166,04;,00;-202217,24;,00;-218041,23;,00;-218467,41;,00;-256287,18;,00;-231313,42;,00;-228158,48;,00;-283756,25;,00;-263228,79;,00;-242506,02;,00;-289215,09;,00;-282767,71;,00;-246207,22;,00
20;A;3111000;RECEITA BRUTA DE VENDAS;-2715958,82;,00;246207,22;-2962166,04;,00;-202217,24;,00;-218041,23;,00;-218467,41;,00;-256287,18;,00;-231313,42;,00;-228158,48;,00;-283756,25;,00;-263228,79;,00;-242506,02;,00;-289215,09;,00;-282767,71;,00;-246207,22;,00
20;A;3111001;VENDAS A VISTA;-1394829,42;,00;133011,36;-1527840,78;,00;-90709,53;,00;-114869,14;,00;-130026,26;,00;-127005,34;,00;-135819,04;,00;-128216,77;,00;-124030,36;,00;-140325,97;,00;-124571,94;,00;-139111,81;,00;-140143,26;,00;-133011,36;,00
20;A;3111002;VENDAS A PRAZO;-1321129,40;,00;113195,86;-1434325,26;,00;-111507,71;,00;-103172,09;,00;-88441,15;,00;-129281,84;,00;-95494,38;,00;-99941,71;,00;-159725,89;,00;-122902,82;,00;-117934,08;,00;-150103,28;,00;-142624,45;,00;-113195,86;,00
20;A;3120000;MERCADORIAS DEVOLVIDAS;71623,67;5694,96;,00;77318,63;,00;3366,14;,00;9648,95;,00;5914,27;,00;3543,97;,00;9737,29;,00;5285,27;,00;6185,23;,00;7050,09;,00;4804,42;,00;6831,35;,00;9256,69;,00;5694,96;,00
20;A;3120001;DEVOLUCAO DE MERCADORIAS;71623,67;5694,96;,00;77318,63;,00;3366,14;,00;9648,95;,00;5914,27;,00;3543,97;,00;9737,29;,00;5285,27;,00;6185,23;,00;7050,09;,00;4804,42;,00;6831,35;,00;9256,69;,00;5694,96;,00
20;A;3130000;IMPOSTOS S/VENDAS;485609,48;56978,83;97413,42;445174,89;,00;24765,48;,00;24387,48;,00;24991,82;,00;30208,11;,00;48199,35;,00;47583,86;,00;58567,32;,00;54801,69;,00;50484,47;,00;62061,02;,00;59558,88;,00;-40434,59;,00
20;A;3130001;ICMS;263273,07;34451,56;93671,66;204052,97;,00;5506,26;,00;5411,44;,00;5807,94;,00;7160,07;,00;27802,23;,00;30051,56;,00;36647,78;,00;34570,23;,00;31883,12;,00;39922,46;,00;38509,98;,00;-59220,10;,00
20;A;3130002;PIS S/FATURAMENTO;39654,09;4020,32;670,57;43003,84;,00;3435,15;,00;3384,55;,00;3422,04;,00;4111,00;,00;3637,36;,00;3127,17;,00;3909,70;,00;3607,64;,00;3317,21;,00;3948,18;,00;3754,09;,00;3349,75;,00
20;A;3130003;COFINS S/FATURAMENTO;182682,32;18506,95;3071,19;198118,08;,00;15824,07;,00;15591,49;,00;15761,84;,00;18937,04;,00;16759,76;,00;14405,13;,00;18009,84;,00;16623,82;,00;15284,14;,00;18190,38;,00;17294,81;,00;15435,76;,00
20;A;3140000;CUSTO DE MERCADORIAS E SERVICOS;1666323,00;143678,39;3282,70;1806718,69;,00;141012,48;,00;139575,05;,00;136845,88;,00;165420,20;,00;141335,68;,00;137522,67;,00;167274,40;,00;150885,19;,00;139944,14;,00;162360,58;,00;184146,73;,00;140395,69;,00
20;A;3140001;CUSTO MERCADORIAS VENDIDAS;1666209,60;143678,39;3282,70;1806605,29;,00;141012,48;,00;139575,05;,00;136845,88;,00;165420,20;,00;141335,68;,00;137522,67;,00;167274,40;,00;150885,19;,00;139944,14;,00;162360,58;,00;184033,33;,00;140395,69;,00
20;A;3140003;CUSTO DE BRINDES;113,40;,00;,00;113,40;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;113,40;,00;,00;,00
20;A;4000000;DESPESAS OPERACIONAIS;206172,30;18524,15;667,83;224028,62;,00;17975,69;,00;16127,67;,00;14471,46;,00;22667,37;,00;21625,41;,00;15617,32;,00;22116,58;,00;19688,92;,00;17402,09;,00;18828,97;,00;19650,82;,00;17856,32;,00
20;A;4100000;COMERCIAIS (I.II.III.IV);146369,79;12712,13;33,23;159048,69;,00;11195,46;,00;8922,34;,00;10203,40;,00;16449,98;,00;16103,31;,00;11408,48;,00;16911,69;,00;14720,49;,00;12620,62;,00;13787,46;,00;14046,56;,00;12678,90;,00
20;A;4111000;COMERCIAL (I);146369,79;12712,13;33,23;159048,69;,00;11195,46;,00;8922,34;,00;10203,40;,00;16449,98;,00;16103,31;,00;11408,48;,00;16911,69;,00;14720,49;,00;12620,62;,00;13787,46;,00;14046,56;,00;12678,90;,00
20;A;4111001;SALARIOS E ORDENADOS;142,05;,00;,00;142,05;,00;142,05;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00
20;A;4111004;F G T S;1293,71;,03;,00;1293,74;,00;263,65;,00;126,61;,00;177,75;,00;,04;,00;,04;,00;126,22;,00;38,03;,00;,04;,00;,04;,00;,00;,00;561,29;,00;,03;,00
20;A;4111005;VALE TRANSPORTE;26,00;,00;,00;26,00;,00;26,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00
20;A;4111007;PNEU/CAMARA/PROTETOR/RECAPAGEM;2130,00;2177,85;,00;4307,85;,00;,00;,00;,00;,00;,00;,00;1565,00;,00;565,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;2177,85;,00
20;A;4111008;OLEO/FILTRO/GRAXA;28,00;,00;,00;28,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;28,00;,00;,00;,00;,00;,00;,00;,00;,00;,00
20;A;4111010;PECAS/SERVICOS-REPAROS VEICULOS;20540,55;638,11;,00;21178,66;,00;911,00;,00;205,00;,00;486,10;,00;556,70;,00;1449,79;,00;2496,50;,00;4437,80;,00;4954,89;,00;1805,08;,00;2754,00;,00;483,69;,00;638,11;,00
20;A;4111011;COMBUSTIVEL (OLEO DIESEL/GASOLINA);26885,51;1277,04;,00;28162,55;,00;1420,71;,00;1362,40;,00;1160,96;,00;2273,78;,00;4911,47;,00;2200,42;,00;2735,96;,00;2104,96;,00;2482,74;,00;3028,89;,00;3203,22;,00;1277,04;,00
20;A;4111012;IMPOSTOS S/VEICULOS;1127,57;,00;,00;1127,57;,00;,00;,00;,00;,00;475,73;,00;,00;,00;,00;,00;,00;,00;515,45;,00;,00;,00;,00;,00;136,39;,00;,00;,00;,00;,00
20;A;4111013;VIAGENS E REFEICOES;1743,84;310,40;,00;2054,24;,00;60,00;,00;171,44;,00;168,40;,00;60,00;,00;74,50;,00;77,00;,00;,00;,00;40,00;,00;62,00;,00;,00;,00;1030,50;,00;310,40;,00
20;A;4111014;PROPAGANDA E PUBLICIDADE;7088,34;966,32;,00;8054,66;,00;623,34;,00;720,00;,00;440,00;,00;440,00;,00;715,00;,00;440,00;,00;690,00;,00;470,00;,00;745,00;,00;670,00;,00;1135,00;,00;966,32;,00
20;A;4111016;FRETES S/ENTREGA;282,05;,00;,00;282,05;,00;282,05;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00
20;A;4111018;ROUPAS PROFISSIONAIS;160,00;,00;,00;160,00;,00;,00;,00;,00;,00;,00;,00;160,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00
20;A;4111019;MATERIAL DE EXPEDIENTE;7009,46;840,66;,00;7850,12;,00;742,31;,00;588,52;,00;504,41;,00;390,32;,00;1429,77;,00;,00;,00;1406,15;,00;148,72;,00;628,93;,00;855,86;,00;314,47;,00;840,66;,00
20;A;4111020;ENERGIA;4105,54;359,27;,00;4464,81;,00;388,79;,00;348,81;,00;335,74;,00;313,69;,00;336,61;,00;350,38;,00;366,20;,00;479,88;,00;412,75;,00;393,94;,00;378,75;,00;359,27;,00
20;A;4111021;COMUNICACOES (TELEFONE);3047,49;422,58;,00;3470,07;,00;230,54;,00;233,91;,00;263,25;,00;272,61;,00;285,06;,00;,00;,00;540,71;,00;425,93;,00;273,72;,00;264,63;,00;257,13;,00;422,58;,00
20;A;4111023;ALUGUEIS;713,11;64,40;,00;777,51;,00;63,81;,00;64,40;,00;64,40;,00;50,30;,00;64,40;,00;83,80;,00;64,40;,00;64,40;,00;64,40;,00;64,40;,00;64,40;,00;64,40;,00
20;A;4111024;CONSERVACAO E REPAROS IMOVEIS;1209,87;,00;,00;1209,87;,00;691,34;,00;144,63;,00;65,00;,00;,00;,00;44,90;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;,00;264,00;,00;,00;,00
20;A;4111025;SEGUROS DIVERSOS;4694,67;98,89;,00;4793,56;,00;779,49;,00;380,62;,00;400,59;,00;389,35;,00;407,99;,00;406,65;,00;385,32;,00;385,25;,00;305,36;,00;371,69;,00;482,36;,00;98,89;,00
